# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.02),Noisy fluxes C (sigma=0.03),Noisy fluxes D (sigma=0.05),Noisy fluxes E (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.3)
9.945943517329908,1.080520584306038,1.074785073094281,1.121142048504852,1.071028126363313,1.09311831352042,0.9618086087914886,1.074785073094281,1.121142048504852,1.071028126363313,1.09311831352042,0.9618086087914886,1.074785073094281,1.121142048504852,1.071028126363313,1.09311831352042,0.9618086087914886
9.949422336328626,1.080936564372335,1.087493220995394,1.088427733159298,1.020862442691066,1.082694694290593,0.9947214564432084,1.087493220995394,1.088427733159298,1.020862442691066,1.082694694290593,0.9947214564432084,1.087493220995394,1.088427733159298,1.020862442691066,1.082694694290593,0.9947214564432084
9.952901155327345,1.081501516053728,1.074958118974704,1.071089312548587,1.10588591149921,1.115223663729591,1.032754261918643,1.074958118974704,1.071089312548587,1.074987807772226,1.121113478761759,1.032754261918643,1.074958118974704,1.071089312548587,1.0131916003182577,1.132893108826095,1.032754261918643
9.956379974326058,1.081784424831177,1.062785836439826,1.089886168908033,1.083926030771256,1.096210567930339,1.077508496794198,1.062785836439826,1.089886168908033,1.083926030771256,1.096210567930339,1.077508496794198,1.062785836439826,1.089886168908033,1.083926030771256,1.096210567930339,1.077508496794198
9.959858793324774,1.082262898848691,1.064203784726814,1.099260816133276,1.041780580450747,1.043700889753304,1.095794804873531,1.064203784726814,1.099260816133276,1.041780580450747,1.043700889753304,1.095794804873531,1.064203784726814,1.099260816133276,1.041780580450747,1.043700889753304,1.095794804873531
9.963337612323492,1.082752142259778,1.09194152604467,1.100262573638383,1.08009615109452,1.136448420780962,1.131244863067059,1.09194152604467,1.100262573638383,1.08009615109452,1.136448420780962,1.131244863067059,1.09194152604467,1.100262573638383,1.08009615109452,1.136448420780962,1.131244863067059
9.966816431322208,1.082999086549429,1.078201849108572,1.061988520269489,1.075011373118582,1.039798527896013,1.070073878744819,1.169699558752042,1.061988520269489,1.075011373118582,1.039798527896013,1.070073878744819,1.352694978038982,1.061988520269489,1.075011373118582,1.039798527896013,1.070073878744819
9.970295250320923,1.083419563687908,1.098471964972201,1.070889379100401,1.112643760319959,1.033904815282455,1.025655175957551,1.098471964972201,1.070889379100401,1.2326632230769359,1.033904815282455,1.025655175957551,1.098471964972201,1.070889379100401,1.4727021485908895,1.033904815282455,1.025655175957551
9.97377406931964,1.083922359655608,1.080156174006212,1.086253405430926,1.092311957856405,1.018542322059563,1.113848735717816,1.080156174006212,1.086253405430926,1.092311957856405,1.018542322059563,1.113848735717816,1.080156174006212,1.086253405430926,1.092311957856405,1.018542322059563,1.113848735717816
9.977252888318356,1.084137602990999,1.091152491627538,1.06445024838504,1.094306052539202,1.168866363474669,1.070235811765216,1.091152491627538,1.06445024838504,1.094306052539202,1.168866363474669,1.070235811765216,1.091152491627538,1.06445024838504,1.094306052539202,1.168866363474669,1.070235811765216
9.980731707317071,1.084636526100349,1.071839799370718,1.079598692780142,1.098153940678761,1.076146606087608,1.005714709743234,1.071839799370718,1.079598692780142,1.098153940678761,1.076146606087608,1.005714709743234,1.071839799370718,1.079598692780142,1.098153940678761,1.076146606087608,1.005714709743234
9.984210526315788,1.084986995796581,1.090835905986551,1.056236960520488,1.009996893947907,1.108131557469155,1.094798054979125,1.090835905986551,1.056236960520488,1.009996893947907,1.108131557469155,1.094798054979125,1.090835905986551,1.056236960520488,1.009996893947907,1.108131557469155,1.094798054979125
9.987689345314504,1.085344863242177,1.097549139118417,1.097174551813137,1.078310952478321,1.16738588234528,1.116155445452577,1.097549139118417,1.097174551813137,1.078310952478321,1.16738588234528,1.116155445452577,1.097549139118417,1.097174551813137,1.078310952478321,1.16738588234528,1.116155445452577
9.99116816431322,1.08577212796635,1.079812308274189,1.085704629508975,1.114788785819308,1.056314831789768,1.027059839818705,1.079812308274189,1.085704629508975,1.114788785819308,1.056314831789768,1.027059839818705,1.079812308274189,1.085704629508975,1.114788785819308,1.056314831789768,1.027059839818705
9.994646983311938,1.086091791425533,1.099471239019962,1.124200226585554,1.132997958738666,1.027304787858354,1.186603511406663,1.099471239019962,1.124200226585554,1.132997958738666,1.027304787858354,1.186603511406663,1.099471239019962,1.124200226585554,1.132997958738666,1.027304787858354,1.186603511406663
9.998125802310652,1.086606864012426,1.089139000301632,1.052972682407726,1.069598883895337,1.074613290126373,1.142269662696384,1.089139000301632,1.052972682407726,1.069598883895337,1.074613290126373,1.142269662696384,1.089139000301632,1.052972682407726,1.069598883895337,1.074613290126373,1.142269662696384
10.00160462130937,1.086862906118269,1.089938822046633,1.096707360890345,1.129816889962945,1.113494357007659,1.050729681960697,1.089938822046633,1.096707360890345,1.129816889962945,1.113494357007659,1.050729681960697,1.089938822046633,1.096707360890345,1.129816889962945,1.113494357007659,1.050729681960697
10.00508344030809,1.087227215066821,1.099370493592718,1.099778514992318,1.089568070118475,1.091052204541309,1.173514334059158,1.099370493592718,1.099778514992318,1.089568070118475,1.091052204541309,1.173514334059158,1.099370493592718,1.099778514992318,1.089568070118475,1.091052204541309,1.173514334059158
10.0085622593068,1.087611318016769,1.076499951673905,1.10227819324714,1.08454508975943,1.044875093346805,1.094400591279986,1.076499951673905,1.10227819324714,1.08454508975943,1.044875093346805,1.094400591279986,1.076499951673905,1.10227819324714,1.08454508975943,1.044875093346805,1.094400591279986
10.01204107830552,1.087969904482675,1.109300601436888,1.106003116732898,1.038120843631535,1.114547492337834,1.052221658518496,1.109300601436888,1.106003116732898,1.038120843631535,1.114547492337834,1.052221658518496,1.109300601436888,1.106003116732898,1.038120843631535,1.114547492337834,1.052221658518496
10.01551989730424,1.088241008562213,1.088701467161485,1.108626826278948,1.111005684944327,1.055539642271937,1.14526831951544,1.088701467161485,1.108626826278948,1.111005684944327,1.055539642271937,1.14526831951544,1.088701467161485,1.108626826278948,1.111005684944327,1.055539642271937,1.14526831951544
10.01899871630295,1.088583790130102,1.094144756252501,1.101555268440213,1.076126919770771,1.148340508179277,1.158558319523443,1.094144756252501,1.101555268440213,1.076126919770771,1.148340508179277,1.158558319523443,1.094144756252501,1.101555268440213,1.076126919770771,1.148340508179277,1.158558319523443
10.02247753530167,1.088840120703906,1.097392985150094,1.107250859838054,1.071992025034936,1.111706690494466,1.065822670238982,1.1404044679180378,1.107250859838054,1.071992025034936,1.111706690494466,1.065822670238982,1.2264274334539254,1.107250859838054,1.071992025034936,1.111706690494466,1.065822670238982
10.02595635430038,1.089189481438911,1.087928056693695,1.094383522298982,1.077058740746837,1.014920724473996,1.124244937674143,1.087928056693695,1.094383522298982,1.077058740746837,1.0873957763056536,1.124244937674143,1.087928056693695,1.094383522298982,1.077058740746837,1.2323458799689693,1.124244937674143
