# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.03),Noisy fluxes C (sigma=0.05),Noisy fluxes D (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.3)
4.746387337057728,0.997212685956192,1.000169513395689,1.004994070112383,0.981495084859249,0.9844280748698596,1.000169513395689,0.8452475382376177,0.981495084859249,0.9844280748698596,1.000169513395689,0.5257544744880873,0.981495084859249,0.9844280748698596
4.749869646182495,0.9997535066396368,1.007499057411013,0.9971484663924872,1.010687315977755,1.020573030044257,1.007499057411013,0.9971484663924872,1.010687315977755,1.020573030044257,1.007499057411013,0.9971484663924872,1.010687315977755,1.020573030044257
4.753351955307263,1.002616613424833,1.008821968202001,1.012454263735182,0.9644869299582574,1.048891002736929,1.0605685934746623,1.012454263735182,0.9644869299582574,1.048891002736929,1.1640618440199848,1.012454263735182,0.9644869299582574,1.048891002736929
4.75683426443203,1.005431902980771,0.9942835375616612,1.022699244033232,1.006458149358365,0.9936247889511312,0.9942835375616612,1.022699244033232,1.006458149358365,0.9936247889511312,0.9942835375616612,1.022699244033232,1.006458149358365,0.9936247889511312
4.760316573556797,1.008542969075832,0.9978229257225624,1.020433037377311,1.019203992421795,1.070180646090693,0.9978229257225624,1.0434739760139615,1.019203992421795,1.070180646090693,0.9978229257225624,1.0895558532872625,1.019203992421795,1.070180646090693
4.763798882681565,1.011487744626219,1.016137187001005,0.9462678533503618,1.052269581937415,1.144467651019755,0.9529680224493953,0.9462678533503618,1.052269581937415,1.144467651019755,0.8266296933461759,0.9462678533503618,1.052269581937415,1.144467651019755
4.767281191806331,1.01450620623162,1.021734448029665,1.036965163897112,1.020570527927272,0.9494164212744982,1.021734448029665,1.036965163897112,1.020570527927272,0.9494164212744982,1.021734448029665,1.036965163897112,1.020570527927272,0.9494164212744982
4.770763500931099,1.017370996158198,1.022816422906347,1.017141775809788,0.9394081858568204,0.946673279733551,1.022816422906347,1.017141775809788,0.9394081858568204,0.946673279733551,1.022816422906347,1.017141775809788,0.9394081858568204,0.946673279733551
4.774245810055866,1.020231534728041,1.004600488065087,1.048749556366391,0.9634629469522664,0.9923082623998636,1.004600488065087,1.048749556366391,0.9634629469522664,0.9923082623998636,1.004600488065087,1.048749556366391,0.9634629469522664,0.9923082623998636
4.777728119180633,1.023287622956129,1.03159625446367,0.9765072989660448,0.9794652136947318,0.938623270664836,1.03159625446367,0.9765072989660448,0.9794652136947318,0.8228112634415714,1.03159625446367,0.9765072989660448,0.9794652136947318,0.5911872489950423
4.781210428305401,1.026108608199229,1.031526341960121,1.009523224934765,0.991095419974709,1.038727373969686,1.031526341960121,1.009523224934765,0.991095419974709,1.038727373969686,1.031526341960121,1.009523224934765,0.991095419974709,1.038727373969686
4.784692737430168,1.028906009725852,1.038973122505659,1.047378628771923,0.9888813383268736,0.9821843068220572,1.1188913479909606,1.047378628771923,0.9888813383268736,0.9821843068220572,1.2787277989615635,1.047378628771923,0.9888813383268736,0.9821843068220572
